Date,Open,High,Low,Close,AdjClose,Volume
2/1/1969,14.8125,15.525,14.6625,14.66875,4.275411,9505600
3/1/1969,14.66875,15.775,14.5875,15.7,4.588353,7593600
4/1/1969,15.7,16.512501,15.2625,16.4,4.792929,7721600
5/1/1969,16.4,16.74375,15.9125,15.95,4.661414,7235200
6/1/1969,15.95,16.975,15.3875,16.887501,4.947561,9937600
7/1/1969,16.887501,18.225,15.5,16.225,4.753468,17296000
8/1/1969,16.299999,17.5375,16.275,17.25,5.053762,11720000
9/1/1969,17.25,18.012501,16.549999,17.262501,5.07306,10350400
10/1/1969,17.262501,18.25,17,18.025,5.297139,12192000
11/1/1969,18,18.4375,17.2125,17.85,5.245711,8328000
12/1/1969,17.924999,18.35,17.512501,18.225,5.37081,11555200
1/1/1970,18.225,19.35,16.7125,16.759375,4.938902,15148800
2/1/1970,16.85,17.75,16.737499,17.012501,5.013498,12294400
3/1/1970,17.012501,17.049999,15.7625,16.924999,4.98771,15971200
4/1/1970,16.924999,17.025,14.3125,14.9,4.390955,18692800
5/1/1970,14.9,14.95,11.85,13.9,4.096261,29678400
6/1/1970,13.9,14.35,12.5,12.5,3.69858,21307200
7/1/1970,12.5,13.125,12.1,12.6125,3.731868,18169600
8/1/1970,12.59375,13.575,10.9375,13.3125,3.95772,22201600
9/1/1970,13.2625,14.775,12.9625,14.5875,4.336772,17121600
10/1/1970,14.5875,15.4875,14.15,14.7,4.370219,13166400
11/1/1970,14.7,15.45,14.425,15.3625,4.585607,13985600
12/1/1970,15.3625,16.0375,15.3125,15.8875,4.742318,15844800
1/1/1971,15.8375,16.387501,15.5,16.275,4.857983,13894400
2/1/1971,16.275,17.174999,16.25,16.825001,5.022157,11152000
3/1/1971,16.825001,18.2875,16.737499,17.875,5.356643,12256000
4/1/1971,17.875,18.200001,17.450001,17.887501,5.360388,16568000
5/1/1971,17.75,17.775,16.25,16.35,4.899641,12846400
6/1/1971,16.375,16.575001,15.4,15.85,4.767427,21155200
7/1/1971,15.85,15.9625,14.5125,14.5625,4.380167,22408000
8/1/1971,14.6375,16,14.1625,15.2,4.57192,17017600
9/1/1971,15.2,15.65,14.95,15.1875,4.588945,12812800
10/1/1971,15.2125,15.7625,14.775,15.025,4.539847,14761600
11/1/1971,15,15.325,14.4125,15.275,4.615382,13342400
12/1/1971,15.325,17.424999,15.325,16.825001,5.105825,17424000
1/1/1972,16.825001,18.6,16.5875,18.4,5.583783,18987200
2/1/1972,18.4,18.75,18.225,18.424999,5.591372,9993600
3/1/1972,18.475,19.299999,18.299999,19.112499,5.821044,13555200
4/1/1972,19.112499,19.987499,18.9625,19.299999,5.878153,11294400
5/1/1972,19.299999,20.299999,18.8375,19.887501,6.057086,13296000
6/1/1972,19.950001,20.049999,19.35,19.6,5.990862,9315200
7/1/1972,19.65,20.275,19.174999,20.0375,6.124585,11385600
8/1/1972,20.1,21.3375,20.1,20.424999,6.243027,14835200
9/1/1972,20.424999,20.487499,19.6625,20.325001,6.233037,9339200
10/1/1972,20.325001,20.393749,18.075001,19.275,5.911033,19964800
11/1/1972,19.299999,19.725,18.549999,19.549999,5.995368,12979200
12/1/1972,19.549999,20.25,19.25,20.1,6.185955,12316800
1/1/1973,20.225,22.424999,20.225,21.775,6.701447,18889600
2/1/1973,21.775,22.825001,20.924999,21.575001,6.639898,14412800
3/1/1973,21.575001,22.487499,20.975,21.575001,6.661201,14980800
4/1/1973,21.575001,21.8125,20.0625,20.4,6.29843,13444800
5/1/1973,20.575001,21.262501,19.075001,19.671875,6.07362,19080000
6/1/1973,19.625,20.84375,19.125,19.8125,6.1373,13171200
7/1/1973,19.625,20.21875,18.4375,19.65625,6.088897,15332800
8/1/1973,19.65625,19.671875,18.578125,18.8125,5.827531,11534400
9/1/1973,18.78125,18.78125,15.65625,16.125,5.013258,23854400
10/1/1973,16.109375,18.4375,15.3125,17.515625,5.445602,21480000
11/1/1973,17.515625,18.125,16.4375,16.5625,5.149277,14982400
12/1/1973,16.546875,16.6875,14.695313,15.421875,4.814138,15811200
1/1/1974,15.421875,15.71875,14.0625,15.328125,4.784874,15929600
2/1/1974,15.28125,15.28125,14.0625,14.867188,4.640986,9995200
3/1/1974,14.867188,15.875,14.46875,14.734375,4.624528,12356800
4/1/1974,14.734375,15.15625,13.671875,14.203125,4.457791,11529600
5/1/1974,14.203125,14.5,13.101563,13.28125,4.168453,11699200
6/1/1974,13.28125,14.5,13.125,13.296875,4.196902,11020800
7/1/1974,13.296875,13.992188,12.265625,12.601563,3.97744,16593600
8/1/1974,12.601563,13.4375,11.765625,12,3.787572,20158400
9/1/1974,12,12.03125,9.40625,9.9375,3.158643,25644800
10/1/1974,9.9375,12.3125,9.640625,11.820313,3.7571,30107200
11/1/1974,11.820313,12.5,10.421875,11.078125,3.521193,21164800
12/1/1974,10.96875,10.976563,10.007813,10.5,3.363192,20459200
1/1/1975,10.515625,11.96875,9.828125,11.765625,3.768575,34846400
2/1/1975,11.765625,13.8125,11.703125,13.46875,4.314092,30401600
3/1/1975,13.5,14.046875,12.703125,12.914063,4.1677,22632000
4/1/1975,12.914063,13.585938,12.265625,13.117188,4.233258,25046400
5/1/1975,13.117188,14.210938,12.875,13.4375,4.336627,23155200
6/1/1975,13.5625,13.734375,12.6875,13.0625,4.245592,18966400
7/1/1975,13.0625,13.171875,11.859375,11.890625,3.864706,23774400
8/1/1975,11.890625,11.921875,11,11.640625,3.783453,17582400
9/1/1975,11.640625,12.265625,11.101563,11.765625,3.860401,18624000
10/1/1975,11.765625,13.484375,11.453125,13.265625,4.352569,31411200
11/1/1975,13.265625,14.15625,13.1875,14.148438,4.642225,20020800
12/1/1975,14.148438,14.203125,12.984375,14.015625,4.636656,20083200
1/1/1976,14.015625,16.234375,13.960938,16.109375,5.329311,36676800
2/1/1976,16.109375,16.53125,15.734375,15.976563,5.285374,24716800
3/1/1976,15.976563,16.617188,15.890625,16.375,5.453369,24401600
4/1/1976,16.375,17.078125,15.773438,15.835938,5.273847,28350400
5/1/1976,15.796875,16.21875,15.328125,16.039063,5.341491,18865600
6/1/1976,16.03125,17.429688,15.75,17.296875,5.800992,28011200
7/1/1976,17.296875,17.523438,16.75,17.007813,5.704044,25787200
8/1/1976,17.007813,17.546875,16.734375,17.101563,5.735486,20012800
9/1/1976,17.101563,18.03125,17.078125,17.585938,5.946283,24534400
10/1/1976,17.585938,17.703125,15.8125,16.984375,5.742877,33817600
11/1/1976,16.984375,17.21875,16.09375,16.9375,5.727027,26073600
12/1/1976,16.9375,17.625,16.546875,17.445313,5.948677,27566400
1/1/1977,17.28125,17.53125,16.632813,17.203125,5.866091,32448000
2/1/1977,17.203125,17.367188,16.625,17.25,5.882078,25752000
3/1/1977,17.257813,17.882813,17.234375,17.28125,5.946944,37860800
4/1/1977,17.28125,17.453125,16.03125,16.171875,5.56518,36848000
5/1/1977,16.171875,16.484375,15.28125,15.34375,5.280198,30588800
6/1/1977,15.375,16.804688,15.375,16.5,5.732615,32380800
7/1/1977,16.492188,17.21875,16.125,16.757813,5.822186,27246400
8/1/1977,16.757813,17,16.492188,16.773438,5.827614,22665600
9/1/1977,16.773438,16.8125,15.953125,16.3125,5.720485,21864000
10/1/1977,16.3125,16.40625,15.882813,16.078125,5.638294,26683200
11/1/1977,16.078125,16.828125,15.5625,16.5,5.786237,36395200
12/1/1977,16.5,17.203125,16.203125,17.09375,6.053635,32008000
1/1/1978,16.78125,17.0625,16.5,16.59375,5.876563,39188800
2/1/1978,16.59375,16.648438,15.640625,15.703125,5.561153,27854400
3/1/1978,15.703125,15.78125,14.703125,14.71875,5.2702,49926400
4/1/1978,14.765625,16.625,14.671875,16.625,5.952751,60392000
5/1/1978,16.625,16.796875,16.125,16.140625,5.779315,38838400
6/1/1978,16.140625,17.265625,16,16.078125,5.820618,37203200
7/1/1978,16.078125,17.59375,15.9375,17.5625,6.357991,39387200
8/1/1978,17.5625,18.796875,17.4375,18.242188,6.60405,50198400
9/1/1978,18.25,19.03125,17.09375,17.3125,6.329701,32940800
10/1/1978,17.3125,18.34375,16.46875,16.515625,6.038352,45206400
11/1/1978,16.578125,17.28125,16,16.84375,6.158319,39755200
12/1/1978,16.914063,19.375,16.835938,18.65625,6.896159,45998400
1/1/1979,18.65625,19.765625,18.40625,19.296875,7.132956,47875200
2/1/1979,19.296875,19.4375,18.570313,18.75,6.93081,27734400
